Telltale Heart,I,I,Rare (Green),Gain One Permanent Health and Lose One Sanity.,+1 Permanent HP. -1 Sanity. Adds Sanity Meter.,"The Telltale Heart continues to beat endlessly, driving you insane. Levels up once per 2 bosses killed."
Coin Purse,I,I,Common (Grey),Gain 3 Sen,+3 Sen,Nil,
Coin Purse II,II ,I,Common (Grey),Gain 4 Sen,+4 Sen,Nil,
Coin Purse III,III,I,Common (Grey),Gain 5 Sen,+5 Sen,Nil,
Item Belt II,III,I,Rare (Green),Pouch Granting Item Space,+1 Item Slot,Nil,
Dog Belt,III,I,Ultra Rare (Purple),Grants Ally- Dog.,+1 Dog Ally +1 Ally Slot,Nil,
Cape of Invisibility,III,I,Rare (Green),Black and White Cape of a Great Size. Invisble to the naked eye.,,Grants Invisibility for 1 turn for PC and one nearby ally. One use per night.
Potion of Invisibility,I,I,Ultra Rare (Purple),Small Vial of Viscous Black Liquid.,,Grants Invisibility for 1 turn. Unusable after 1 use.
Potion of Strength,II,I,Rare (Green),Small Vial of Red Glowing Liquid.,,Grants +3 STR for one night. Unusable after 1 use.
Club,I,M ,Common (Grey),Basic Club Great for Blunt Damage,Slashing ++ Stabbing -- Speed ++,"Not effective against armor, but extra damage on blows to the head."
Katana,I,M ,Rare (Green),Blade and Soul of the Warrior,Slashing ++ Stabbing ++ Speed -,Nil,
Wakizashiv,I,M ,Common (Grey),Preferred Short Sword of the Samurai,Slashing 0 Stabbling + Speed +,Nil,
Tanto,I,M ,Ultra Rare (Purple),Double Edged Knife of Value,Slashing- Stabbing ++ Speed ++,Extremely Short Range
Bokken,I,M ,Common (Grey),Wooden Training Sword,Slashing - Stabbing - Speed ++,"Almost no damage, but can be sold for one Samurai weapon of higher tier."
Hammer,I,M ,Common (Grey),Basic Hammer,Slashing + Stabbing - Speed ++,Nil,
Pickaxe,I,M ,Common (Grey),Mostly Used for Ore, Slashing + Stabbing - Speed -,Nil,
Naginata,II,M ,Common (Grey),Bladed Pole of Death,Slashing + Stabbing-- Speed ++,Access to Perilous Sweeping Attack
Kaburtowari,II,M ,Rare (Green),Skull Splitting Knife,Slashing + Stabbing ++ Speed ++,Can hit through armor on stealth attack
Great Club,II,M ,Common (Grey),Basic Great Club Amazing Blunt Damage,Slashing ++ Stabbing -- Speed -,Amazing Crowd Control and Grants use of Hunter's Mark Item
Chisel,II,M ,Common (Grey),Used to Carve Metals,Slashing -- Stabbing ++ Speed ++,Nil,
Soul Infested Katana,III,M ,Rare (Green),Katana Infested With Souls of Defeated Wielders,Slashing ++ Stabbing + Speed -,Nil,
Elevated Tanto,II,M ,Ultra Rare (Purple),Double Edged Knife Once Valued by a Monk Who Altered the Knife Repeatedly.,Slashing - Stabbing +++ Speed ++,"Lightweight and durable, with massive critical damage."
Club of a Great Warrior,II,M ,Common (Grey),Purple Club with Runes Carved in its Side,Slashing ++ Stabbing -- Speed ++,"Not effective against armor, but extra damage on blows to the head. Gains access to Battle Analyzer Item."
Scythe,II,M ,Common (Grey),Long Scythe with two forms: Sweeping and Slashing.,Slashing ++ Stabbing -- Speed +. Requires 2 DEX,"Sweeping and Slashing switching takes a bonus action, but provide amazing crowd damage."
Flail,II,M ,Rare (Green),Spike Ball on a Chain attached to a Short Handle.,Slashing + Stabbing + Speed +++. 5 DMG per STR Level and Requires 2 STR to wield.,Swinging around a heavy object takes a lot from the user but will scale with Strength Users. +.5 DMG per STR level.
Kanabo,I,M ,Common (Grey),Traditional Spiked Bat.,Slashing ++ Stabbing -- Speed +,Nil,
Yumi,I,R,Common (Grey),Longbow of the Samurai,Accuracy - Speed + Damage + Range -,Headshots kill basic enemies and Increase next shot damage
Tanegashima,II,R,Rare (Green),Dutch-Imported Basic Rifle,Accuracy + Speed - Damage + Range +,One turn Reload
Kabura-ya,II,R,Ultra Rare (Purple),Whistling Arrow,Accuracy ++ Speed - Damage + Range -,Command by targeting.
Yumi,II,R,Rare (Green),Traditional Bow,Accuracy + Speed + Damage + Range -,Great for rapid fire and insta-kill headshots.
Bajō-zutsu,III,R,Rare (Green),Pistol Taneganshima Only for the most Badass of Samurai,Accuracy - Speed - Damage + Range +,One turn Reload
Odzutsu,III,R,Legendary (Golden),Handheld Artillery,Accuracy -- Speed - Damage +++ Range ++,Can be fired once per battle. Can ignite forest or wood surroundings.
Shuriken,I,R,Common (Grey),Basic Shuriken Great for Beginner Shinobi,Accuracy + Speed ++ Damage 0 Range -,Extra headshot damage. Not effective against armored foes.
